,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10356,0.002,0.009000000000000001,1,0,60.39,-0.010000000000001563,0.007,0.017,-0.01,0.538,0.253,0.104,0.07,0,61.0,0
10357,0.0,0.009000000000000001,0,0,60.39,-0.010000000000001563,0.012,0.017,-0.006,0.533,0.248,0.1,0.063,1,62.0,0
10358,-0.008,-0.008,0,1,49.45,-0.08000000000000007,0.01,0.012,-0.003,0.458,0.174,0.029,-0.006,1,63.0,1
10359,-0.001,-0.009000000000000001,0,2,48.11,-0.08999999999999986,0.007,0.008,-0.001,0.444,0.161,0.018,-0.015,1,64.0,1
10360,0.002,0.002,1,0,50.98,-0.07000000000000028,0.006,0.006,0.001,0.459,0.178,0.036,0.005,1,65.0,1
10361,-0.003,-0.003,0,1,46.8,-0.10000000000000142,0.003,0.002,0.001,0.425,0.145,0.006,-0.023,1,66.0,1
10362,0.001,0.001,1,0,48.32,-0.08999999999999986,0.002,0.001,0.001,0.43,0.152,0.016,-0.012,1,67.0,1
10363,0.003,0.004,2,0,52.68,-0.0600000000000005,0.003,0.001,0.002,0.456,0.178,0.044,0.017,0,68.0,1
10364,0.001,0.005,3,0,54.08,-0.05000000000000071,0.005,0.003,0.002,0.461,0.184,0.052,0.024,1,69.0,1
10365,-0.002,-0.002,0,1,50.85,-0.07000000000000028,0.005,0.002,0.003,0.437,0.161,0.03,0.004,1,70.0,1
10366,-0.002,-0.004,0,2,47.79,-0.08999999999999986,0.003,-0.0,0.003,0.413,0.138,0.01,-0.015,1,71.0,1
10367,0.005,0.005,1,0,55.08,-0.040000000000000924,0.005,0.002,0.003,0.458,0.184,0.058,0.032,1,72.0,1
